,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2009-04-01 12:00:00,2009_00002,752534.42893,-1576973.55834,-19.48944,73.97106,462.39672,131.016565,51.47051,18.7586675,0.00056399164389229,0.002995904507583569,3.369759789334254e-05,-0.003114689786782935,179.38014539284507,0.00311487206735585
1,2009-04-02 12:00:00,2009_00002,752652.95579,-1577215.17709,-19.48935,73.96863,469.621710625,129.43942,51.9602625,18.7147025,-0.0009513424087034116,-0.0004037384716566435,-7.79703064305963e-05,0.0007863509253826772,354.3373694985085,0.0007902070276421705
2,2009-04-03 12:00:00,2009_00002,752617.61531,-1577156.76156,-19.48957,73.96925,467.450658125,129.893025,51.858965,18.7165525,-0.00019937212811162977,0.030883966714219897,-0.00886742910381069,-0.020207991245093915,203.6922524785941,0.02206794528434628
4,2009-04-01 12:00:00,2009_00004,803495.52046,-1589766.25324,-18.18717,73.6636,315.36844,71.61894,25.155295,16.5909125,-0.0014284530560594892,0.013823331303133662,-0.027010846895990932,-0.16021219771890638,189.56974303596667,0.1624731797804198
5,2009-04-02 12:00:00,2009_00004,807656.65894,-1603173.02254,-18.2611,73.53831,312.884260625,71.6733275,25.11426,16.496845,,0.009835698998902626,-0.027760460718042737,-0.16095626514179598,189.78564979757851,0.16333267421944123
7,2009-04-01 12:00:00,2009_00005,818595.0094,-1508072.74528,-16.50649,74.25568,265.48249125,69.2458875,25.436675,14.18674,0.08477444678678231,0.07256912619939368,-0.021889317779617935,-0.09536410981440184,192.92741051980556,0.09784403749616219
8,2009-04-02 12:00:00,2009_00005,820863.56341,-1516216.40087,-16.56935,74.18099,261.69407875,68.25058,25.514125,13.87411,0.05685170796481066,0.05679444370168994,-0.05199216564932515,-0.12954843193807677,201.86725988656454,0.13959219715486026
10,2009-04-01 12:00:00,2009_00008,575373.60409,-907349.58854,-12.62017,80.10557,152.099379375,48.3846025,16.16301,12.5162425,0.10273599575822401,0.1264423404163204,0.010256732577884876,0.01013259236371004,45.348840507161185,0.014417697152574677
11,2009-04-02 12:00:00,2009_00008,575653.16662,-906135.67505,-12.57287,80.11358,148.639144375,48.5497725,17.3638175,11.374715,,0.05248309878876971,-0.009380892022862956,-0.003304464928668991,250.59493929007022,0.009945884757497305
12,2009-04-03 12:00:00,2009_00008,575122.13263,-906811.27952,-12.6161,80.11096,151.70491125,49.020625,17.25922,11.75395,,,-0.009378395215452473,-0.0033115447456220034,250.55169224420368,0.009945884848492794
14,2009-04-01 12:00:00,2009_00009,815431.58222,-1758134.23081,-20.11788,72.24715,142.95651625,59.1821325,19.4717275,12.333125,0.02447883508266272,-0.07421879923744804,-0.029652577758509394,-0.1522588268684582,191.02047120490045,0.1551193918473238
16,2009-04-01 12:00:00,2009_00010,798102.04581,-661520.7309,5.34577,80.45196,149.34450375,53.98479,22.5813475,9.07711,-0.04761822489056099,-0.047490807248966316,0.03397270629150346,-0.045320819199482075,143.1445946413757,0.05664028094634508
18,2009-04-01 12:00:00,2009_00013,843476.17415,-1433339.02203,-14.52448,74.73472,106.033865,43.480595,13.535705,11.076115,-0.03213857268701705,0.015112776515297103,-0.03910354171934429,-0.07818182165109534,206.57245596885332,0.08741558334576383
19,2009-04-02 12:00:00,2009_00013,843990.27527,-1440874.21108,-14.64039,74.67339,107.829200625,43.639095,13.3509475,11.3646925,0.02296891670415573,0.08015138195687328,-0.05906001277861581,-0.1252198989536134,205.25092615065233,0.13844893716949733
21,2009-04-01 12:00:00,2009_00015,858124.05264,-1670306.12832,-17.80806,72.79042,94.028635,37.4787475,11.6496075,10.6043,0.09928080136853129,0.4313011620966437,0.03942327603459732,-0.14757682511737044,165.04341017856655,0.15275180524309032
22,2009-04-02 12:00:00,2009_00015,866980.47205,-1680091.04518,-17.70483,72.67524,93.463815625,36.00842,11.4031,10.661245,0.045469664214413494,0.11127184429849445,0.0183344777764644,-0.15289339332682356,173.16192918324606,0.1539887749101422
24,2009-04-01 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
25,2009-04-02 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
26,2009-04-03 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
27,2009-04-04 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
28,2009-04-05 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
29,2009-04-06 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
30,2009-04-07 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
31,2009-04-08 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
32,2009-04-09 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
33,2009-04-10 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
34,2009-04-11 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
35,2009-04-12 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,-0.001052892919090282,0.0,0.0,90.0,0.0
36,2009-04-13 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.00044258952877654584,-3.011547565196108e-05,4.439824081539969e-05,325.85082369483507,5.3648351896829817e-05
37,2009-04-14 12:00:00,2009_00016,668674.04664,-1378743.38195,-19.12717,75.92294,94.57363,46.4358075,22.08386,5.7572075,0.0020214576814054992,0.0010140598604406034,2.6087694975017614e-05,-3.846001867897631e-05,145.85068563256038,4.647301223179713e-05
38,2009-04-15 12:00:00,2009_00016,668677.52474,-1378745.38824,-19.12708,75.92291,94.618129375,46.429045,22.0895525,5.7595725,-0.0016935590031537987,-0.0031684146526153147,-0.0027069527844572833,0.0014018379915914179,297.37808926210187,0.0030484000938115225
39,2009-04-16 12:00:00,2009_00016,668414.23385,-1378738.46993,-19.13584,75.92401,83.43408625,47.8943775,21.7573375,5.6661625,0.0024897720399548536,0.0030443519698601026,0.0026758886295335203,-0.0013890347855051624,117.43350564438504,0.0030149291190689964
40,2009-04-17 12:00:00,2009_00016,668674.62602,-1378745.60388,-19.12718,75.92292,94.479265,46.447095,22.0860925,5.7587175,,0.0,3.530409047524574e-05,-1.8332884580847102e-05,117.44217522004749,3.9780314997986105e-05
41,2009-04-18 12:00:00,2009_00016,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,-0.0016543713459944334,0.0003387641139906589,0.0,0.0,90.0,0.0
