,floe_id,matlab_index,x_pixel,y_pixel,theta_aqua,theta_terra,datetime,satellite,merged_floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,orientation
0,2013_00001,1,2689.0182531894015,5231.319332679097,,,2013-03-31 11:49:55,aqua,2013_00001_fixed,935843.0833133336,-1975105.2173174922,-19.6475,70.02087,5095.0,404.068,130.4962847986679,60.42660131032938,-30.519973434914352
1,2013_00002,1,2160.474900924703,4041.9577278731836,-10.481176485084031,,2013-03-31 11:49:55,aqua,2013_00002_fixed,800535.9851335707,-1670628.6464871783,-19.39708,73.01917,4542.0,306.47799999999995,123.55517409782676,50.71068820734553,-16.574635650685767
2,2013_00003,1,2573.6434252386002,5107.425503711559,,,2013-03-31 11:49:55,aqua,2013_00003_fixed,906307.1273579284,-1943388.3971018025,-19.99781,70.39102,3772.0,272.174,111.47210628124805,44.09348281864436,59.97083946336114
3,2013_00004,1,2531.8032831737346,4228.868399452805,,,2013-03-31 11:49:55,aqua,2013_00004_fixed,895596.0509893228,-1718477.7784115614,-17.47343,72.2488,3655.0,234.55200000000002,85.88502556454958,56.07566305132462,45.54182290899828
4,2013_00005,1,2434.006182883176,3949.2030589000974,-15.954379323743149,,2013-03-31 11:49:55,aqua,2013_00005_fixed,870559.9933149398,-1646883.4512300682,-17.1386,72.92615,3073.0,216.3,69.60512648375497,58.82988755573211,35.63804454445193
5,2013_00006,1,2578.2634146341466,5186.235540069686,,,2013-03-31 11:49:55,aqua,2013_00006_fixed,907489.8446431883,-1963563.766409483,-20.19529,70.22237,2870.0,235.39600000000002,87.21996346507335,44.35514438331219,60.97627296522137
6,2013_00007,1,2526.5646921278253,5047.005066250974,,,2013-03-31 11:49:55,aqua,2013_00007_fixed,894254.97168157,-1927920.7651118927,-20.11604,70.56253,2566.0,223.446,93.72894314553079,37.25420489200708,49.88557064947474
7,2013_00008,1,2537.6375698324023,3978.905027932961,,,2013-03-31 11:49:55,aqua,2013_00008_fixed,897089.6283739418,-1654487.1553024813,-16.53274,72.75247,1432.0,160.31,49.90946890420922,40.25230053242962,-79.8628124102262
8,2013_00009,1,2505.098336948662,3836.3369486623283,-11.036801339511623,,2013-03-31 11:49:55,aqua,2013_00009_fixed,888759.5847557043,-1617989.7270091996,-16.22007,73.078,1383.0,157.896,51.2590666482277,37.545560782728,40.01147568178519
9,2013_00010,1,2582.317147192716,3808.616084977238,,,2013-03-31 11:49:55,aqua,2013_00010_fixed,908527.6001781821,-1610893.1859058165,-15.57744,73.04715,1318.0,135.564,44.291019736768405,39.231813222406565,10.769246693377825
10,2013_00011,1,2494.3006833712984,5386.913439635536,,,2013-03-31 11:49:55,aqua,2013_00011_fixed,885995.3854398992,-2014937.3086983406,-21.26425,69.88171,878.0,124.01999999999998,48.833053744783754,23.76029310987618,42.92235967391037
11,2013_00012,1,2521.190249702735,4158.958382877527,,,2013-03-31 11:49:55,aqua,2013_00012_fixed,892879.1144207469,-1700580.8141682902,-17.29857,72.40323,841.0,153.346,58.11072168631507,25.072082691568845,-28.34025103213463
12,2013_00013,1,2548.670542635659,4963.944444444444,,,2013-03-31 11:49:55,aqua,2013_00013_fixed,899914.0694115754,-1906657.2459294212,-19.73338,70.71395,774.0,136.31,62.9322310779155,17.282615624856987,-65.06238271379557
13,2013_00014,1,2383.7939778129953,4464.044374009509,,,2013-03-31 11:49:55,aqua,2013_00014_fixed,857705.6688169736,-1778682.8278980777,-19.25599,71.9167,631.0,101.67399999999999,41.727250828117384,20.677591346868628,-60.55159251897217
14,2013_00015,1,2201.258536585366,4123.639024390244,,,2013-03-31 11:49:55,aqua,2013_00015_fixed,810976.5958627005,-1691539.058395546,-19.38549,72.80802,615.0,94.884,38.40449573896596,20.860564670075593,77.690135702095
15,2013_00016,1,2694.3117338003503,4095.3362521891418,,,2013-03-31 11:49:55,aqua,2013_00016_fixed,937198.2143497365,-1684293.5487120636,-15.90695,72.34232,571.0,93.71000000000001,33.50045176620671,23.412386469100092,-61.18349637374943
16,2013_00017,1,2684.9857904085256,4024.214920071048,,,2013-03-31 11:49:55,aqua,2013_00017_fixed,934810.7728414293,-1666086.4876898318,-15.70401,72.49626,563.0,94.074,28.534839920235914,26.805660306894847,-53.576793800620834
17,2013_00018,1,2451.5780669144983,5347.776951672862,,,2013-03-31 11:49:55,aqua,2013_00018_fixed,875058.3956269583,-2004918.3677798961,-21.42085,70.00328,538.0,86.606,31.28020921869087,22.62064112980524,-12.142239724128935
18,2013_00019,1,2355.360225140713,3971.9099437148216,,,2013-03-31 11:49:55,aqua,2013_00019_fixed,850426.6281328693,-1652696.4137426377,-17.77105,72.96371,533.0,96.85399999999998,43.89289869720662,15.74461545308288,-45.661340518694686
19,2013_00020,1,722.5576923076923,560.475,,,2013-03-31 11:49:55,aqua,,432429.179727616,-779369.0681516434,-15.97651,81.78571,520.0,171.712,79.50311599133316,9.12879416869227,80.20987740685874
20,2013_00021,1,2632.671179883946,4332.471953578337,54.6062124907021,,2013-03-31 11:49:55,aqua,2013_00021_fixed,921418.232547137,-1745000.2882676977,-17.16445,71.92888,517.0,84.04199999999999,31.774113410794985,21.204426604772816,-51.283252491287804
21,2013_00022,1,2534.3366141732286,5176.683070866142,,,2013-03-31 11:49:55,aqua,2013_00022_fixed,896244.5837251933,-1961118.3342933757,-20.43927,70.28443,508.0,85.38199999999999,27.817570868402758,24.96194419804944,-87.60021085116199
22,2013_00023,1,2483.7791164658634,4075.2329317269077,,,2013-03-31 11:49:55,aqua,2013_00023_fixed,883301.8643121078,-1679147.0986737318,-17.25375,72.6147,498.0,107.794,42.6998017909997,18.937486111194993,8.594929898666528
23,2013_00024,1,2342.252049180328,4081.2377049180327,,,2013-03-31 11:49:55,aqua,2013_00024_fixed,847070.9350870107,-1680684.3206106597,-18.25173,72.75216,488.0,101.49999999999999,45.361972805618876,16.02216284771588,-6.046308696355836
24,2013_00025,1,2456.5604166666667,5314.24375,,,2013-03-31 11:49:55,aqua,2013_00025_fixed,876333.8771635134,-1996333.8681516433,-21.29989,70.0692,480.0,83.008,28.03051170645099,22.985097759854597,42.80240318642503
25,2013_00026,1,2390.554393305439,4280.995815899581,,,2013-03-31 11:49:55,aqua,2013_00026_fixed,859436.3351830392,-1731822.3970219363,-18.60658,72.28939,478.0,84.166,28.84461492298069,23.514896015759252,77.76321251730307
26,2013_00027,1,2086.498920086393,4167.887688984882,,,2013-03-31 11:49:55,aqua,,781598.1340389634,-1702866.716531773,-20.34537,72.8281,463.0,85.82,34.516223657880715,18.591263781249136,86.21730864707865
27,2013_00028,1,2455.5844155844156,4237.989177489178,,,2013-03-31 11:49:55,aqua,2013_00028_fixed,876084.0208864572,-1720812.6975888729,-18.01887,72.31068,462.0,77.30999999999999,29.337946213183073,20.3340122064802,86.98603557568174
28,2013_00029,1,2537.011261261261,5092.725225225226,,,2013-03-31 11:49:55,aqua,2013_00029_fixed,896929.2933797296,-1939625.1258093012,-20.18304,70.4571,444.0,91.684,40.78575589984868,15.52668134399599,66.8472882278229
29,2013_00030,1,2538.3695652173915,3860.289855072464,,,2013-03-31 11:49:55,aqua,2013_00030_fixed,897277.019192499,-1624121.6710501942,-16.08071,72.99231,414.0,74.316,24.422596005681463,22.70515804721078,-71.27796570912051
30,2013_00031,1,733.7848410757946,502.8117359413203,,,2013-03-31 11:49:55,aqua,,435303.3298122502,-764607.2725526214,-15.34644,81.89099,409.0,112.589,54.87750479180475,10.02145667757868,78.74264822600625
31,2013_00032,1,2366.2850122850123,4409.911547911548,,,2013-03-31 11:49:55,aqua,2013_00032_fixed,853223.3736418099,-1764824.8244169997,-19.19806,72.04675,407.0,83.53799999999998,36.814676152981,15.218797972088737,62.537425497737495
32,2013_00033,1,2611.1230366492146,3934.5706806282724,,,2013-03-31 11:49:55,aqua,2013_00033_fixed,915901.9078790457,-1643137.5623924811,-15.86425,72.76044,382.0,80.06400000000001,32.95707772137925,16.6996145201635,-37.943613379184974
33,2013_00034,1,2659.953804347826,4002.413043478261,,,2013-03-31 11:49:55,aqua,2013_00034_fixed,928402.5844098902,-1660505.2072820782,-15.79007,72.56849,368.0,74.01,28.098323311945148,17.746895161237525,32.215136102511835
34,2013_00035,1,2472.153594771242,4264.787581699346,,,2013-03-31 11:49:55,aqua,2013_00035_fixed,880325.7307582847,-1727673.089066676,-17.99915,72.23817,306.0,62.11,22.77656475978433,17.529003007416694,-1.3458828458580745
35,2013_00001,2,2689.317902420284,5229.810795236266,,,2013-03-31 13:06:59,terra,2013_00001_fixed,935919.7935164395,-1974719.0317321275,-19.64135,70.02371,5206.0,383.18600000000004,129.98197465196463,59.809159044311826,-30.69631131153241
36,2013_00002,2,2161.241801486664,4042.0555312636643,,-11.906468821431103,2013-03-31 13:06:59,terra,2013_00002_fixed,800732.3116774327,-1670653.6841551415,-19.39193,73.0182,4574.0,305.998,123.83910748330729,50.740186044755404,-16.577551653296325
37,2013_00003,2,2573.9623698959167,5106.143581531892,,,2013-03-31 13:06:59,terra,2013_00003_fixed,906388.7771902015,-1943060.2250238077,-19.99213,70.39338,3747.0,271.206,111.09143068996744,43.98176854009394,60.18018361534121
38,2013_00004,2,2532.081588251292,4226.662496600489,,,2013-03-31 13:06:59,terra,2013_00004_fixed,895667.2970891775,-1717913.0672813687,-17.46384,72.25302,3677.0,236.47,85.85562957253205,56.55050573742552,45.236897035857226
39,2013_00005,2,2434.322673488967,3947.837224176527,,-16.119917853371085,2013-03-31 13:06:59,terra,2013_00005_fixed,870641.0149100224,-1646533.7975408342,-17.13137,72.9286,3127.0,217.036,70.83175799850555,58.875328154384576,38.447545610516485
40,2013_00006,2,2578.2571523619426,5186.501996007984,,,2013-03-31 13:06:59,terra,2013_00006_fixed,907488.2415015041,-1963631.9791296874,-20.19608,70.22182,3006.0,248.058,90.61113730614478,44.78438945946955,63.2754282544798
41,2013_00007,2,2527.414439569206,5045.779018747507,,,2013-03-31 13:06:59,terra,2013_00007_fixed,894472.5070265635,-1927606.896951005,-20.10716,70.56426,2507.0,222.08999999999997,93.1745783701859,36.538624844610155,51.15191555383879
42,2013_00008,2,2537.4132390745503,3975.293701799486,,,2013-03-31 13:06:59,terra,2013_00008_fixed,897032.1996999317,-1653562.655812312,-16.52085,72.76006,1556.0,147.87999999999997,51.16969229177101,40.829961003625264,-80.91419952277116
43,2013_00009,2,2505.0605207600283,3834.2251935256863,,-12.390304016631548,2013-03-31 13:06:59,terra,2013_00009_fixed,888749.903811414,-1617449.117694219,-16.21225,73.08233,1421.0,156.928,52.15351992968352,36.986025338711485,40.40414038161424
44,2013_00010,2,2582.5871913580245,3807.8171296296296,,,2013-03-31 13:06:59,terra,2013_00010_fixed,908596.731484501,-1610688.6533368286,-15.57246,73.04845,1296.0,135.448,44.971134496015665,38.27889357061192,11.573807951848243
45,2013_00011,2,2494.5357548240636,5385.986379114643,,,2013-03-31 13:06:59,terra,2013_00011_fixed,886055.563731807,-2014699.981204992,-21.26033,69.88344,881.0,123.16,49.0535857644371,23.54445357708581,43.90988358783336
46,2013_00012,2,2521.0443896424167,4156.694204685573,,,2013-03-31 13:06:59,terra,2013_00012_fixed,892841.7742453055,-1700001.18455115,-17.29151,72.40802,811.0,161.278,58.18722753220286,25.89339941769315,-27.36807787286418
47,2013_00013,2,2548.894805194805,4962.838961038961,,,2013-03-31 13:06:59,terra,2013_00013_fixed,899971.4806267169,-1906374.2421776175,-19.72869,70.71603,770.0,136.49200000000002,63.16834425497201,17.136613734234874,-64.75515126057705
48,2013_00014,2,2384.4430379746836,4461.704113924051,,,2013-03-31 13:06:59,terra,2013_00014_fixed,857871.8282183658,-1778083.7213162004,-19.24409,71.92091,632.0,102.162,41.487795442268954,20.90126503540355,-60.837444467390156
49,2013_00015,2,2201.661316211878,4123.765650080257,,,2013-03-31 13:06:59,terra,2013_00015_fixed,811079.7074470875,-1691571.4745721892,-19.38308,72.80735,623.0,94.94200000000001,38.854131283058905,20.82313289065465,76.76531570604993
50,2013_00016,2,2695.2357019064125,4094.1889081455806,,,2013-03-31 13:06:59,terra,2013_00016_fixed,937434.7501848884,-1683999.8286369122,-15.89656,72.3436,577.0,90.898,32.32533128200648,23.973317778918652,-59.646286733990486
51,2013_00017,2,2685.243902439024,4023.1313320825516,,,2013-03-31 13:06:59,terra,2013_00017_fixed,934876.849521237,-1665809.0891647767,-15.69821,72.49815,533.0,90.088,27.2441945568226,26.394529156265783,-13.21688438916875
52,2013_00018,2,2451.7869718309857,5346.630281690141,,,2013-03-31 13:06:59,terra,2013_00018_fixed,875111.8752855791,-2004624.8202643194,-21.41649,70.0055,568.0,89.78199999999998,32.48758870067977,23.20151040365955,-9.816947446335835
53,2013_00019,2,2354.8465804066545,3970.1977818853975,,,2013-03-31 13:06:59,terra,2013_00019_fixed,850295.1350809503,-1652258.1003143052,-17.76847,72.96778,541.0,97.05199999999999,44.32034474424475,15.861334917722932,-46.965239734767906
54,2013_00020,2,722.523166023166,560.5926640926641,,,2013-03-31 13:06:59,terra,,432420.3409987773,-779399.1901593654,-15.97794,81.78551,518.0,171.158,79.26800188453348,9.10006235295435,80.27553515565819
55,2013_00021,2,2632.7825242718445,4330.545631067961,,58.011367015689714,2013-03-31 13:06:59,terra,2013_00021_fixed,921446.736710439,-1744507.1497050414,-17.15704,71.93269,515.0,83.124,31.76825316275667,21.09751636812639,-52.77890609350825
56,2013_00022,2,2534.733333333333,5176.349019607843,,,2013-03-31 13:06:59,terra,2013_00022_fixed,896346.14383018,-1961032.8171712512,-20.43587,70.28475,510.0,85.258,27.68340643980756,25.17922110622675,67.31312577602338
57,2013_00023,2,2483.8151093439365,4073.773359840954,,,2013-03-31 13:06:59,terra,2013_00023_fixed,883311.0784888945,-1678773.4482709276,-17.24825,72.61765,503.0,107.43,43.07021387761475,18.975658399633186,9.751218589366564
58,2013_00024,2,2342.5929018789143,4080.162839248434,,,2013-03-31 13:06:59,terra,2013_00024_fixed,847158.1933778488,-1680409.1549992426,-18.24559,72.75402,479.0,100.086,44.685956368971745,16.031814933355786,-6.31767384560181
59,2013_00025,2,2457.0797413793102,5313.995689655172,,,2013-03-31 13:06:59,terra,2013_00025_fixed,876466.8242899502,-1996270.3647033675,-21.29602,70.06924,464.0,79.932,26.76502598495443,23.186457416528363,42.01003427710928
60,2013_00026,2,2391.2130801687763,4279.894514767932,,,2013-03-31 13:06:59,terra,2013_00026_fixed,859604.9590200535,-1731540.463932234,-18.59839,72.29099,474.0,82.264,27.19807216903938,23.986319183451727,63.428962177197356
61,2013_00027,2,2086.8711790393013,4168.700873362445,,,2013-03-31 13:06:59,terra,,781693.4323309079,-1703074.8917324294,-20.34538,72.82603,458.0,85.63799999999999,34.962324993128334,18.297472287618618,88.8638975099439
62,2013_00028,2,2455.747844827586,4235.551724137931,,,2013-03-31 13:06:59,terra,2013_00028_fixed,876125.8587727088,-1720188.7095309538,-18.00936,72.31552,464.0,77.30199999999999,29.61943269224034,20.195233990120553,89.62354987643744
63,2013_00029,2,2537.5043103448274,5091.252155172414,,,2013-03-31 13:06:59,terra,2013_00029_fixed,897055.5139451226,-1939248.0198757814,-20.17573,70.4597,464.0,93.09,41.99425185060045,15.466118799863512,67.46677572256407
64,2013_00030,2,2538.3532219570407,3858.529832935561,,,2013-03-31 13:06:59,terra,2013_00030_fixed,897272.8353178492,-1623671.105383147,-16.07409,72.99589,419.0,75.474,24.882955897385102,22.8788586784655,-75.13383857973464
