,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
0,2016-04-01 12:00:00,2016_00007,750899.47237,-1665818.44544,-20.73562,73.2478,324.526785625,91.317395,27.472715,20.839545,,0.014074609607460261,0.00013411302133232718,-0.0002851678501977471,154.81263176477307,0.00031513014022351146
1,2016-04-02 12:00:00,2016_00007,750920.16123,-1665836.14555,-20.73526,73.24757,325.288406875,91.85694,27.4950425,20.885185,,-0.01153088463972537,0.0004168509872422647,-0.0005282958917471449,141.72485370847716,0.0006729496970812616
2,2016-04-03 12:00:00,2016_00007,750971.75325,-1665862.95702,-20.73413,73.24716,327.21482,92.034535,27.54734,21.0131325,,-0.013523133524076046,-0.00013532730719609444,-0.00036016251687416914,200.5931859198193,0.0003847473438947724
4,2016-04-01 12:00:00,2016_00010,818729.5576,-1259538.85451,-11.9752,76.19675,230.533279375,63.19511,25.266635,12.0867325,0.24351562751069722,0.23340385735212446,0.023171787376957357,-0.022684668004972736,134.39138701035034,0.0324272399802813
5,2016-04-02 12:00:00,2016_00010,821476.31914,-1260091.03181,-11.89894,76.1789,239.626645,62.69523,25.29226,12.481125,0.20609799794255956,0.19620010521378328,0.015435868236742326,-0.06946654181451799,167.47208914387306,0.07116084920720274
7,2016-04-01 12:00:00,2016_00019,772416.72912,-1398934.99257,-16.09488,75.32579,112.108605625,43.5903525,15.7726125,9.462335,0.013333186624794605,-0.022894730884729167,-0.0096514189798402,-0.033810093685347535,195.9319088436924,0.03516066443252171
8,2016-04-02 12:00:00,2016_00019,773098.71972,-1401895.33246,-16.12472,75.29924,105.00813375,41.3720925,16.1341925,8.7341775,-0.18164439153624531,,-0.028872044878748594,-0.04741731855967437,211.33691740235366,0.055515737182083
10,2016-04-01 12:00:00,2016_00020,811050.30902,-1366415.6578,-14.3083,75.40778,101.06655875,39.3202975,14.984125,8.8870925,0.25185486556375003,0.25924868770420006,0.014134584187989121,-0.023464466938425077,148.9359761455446,0.02739283991980013
11,2016-04-02 12:00:00,2016_00020,813135.26133,-1367535.67502,-14.26433,75.38934,101.58530375,38.974525,14.9556225,8.950305,0.27140200962474315,0.2698112202837597,-0.02782613583307625,-0.06113515964280044,204.4730182742759,0.06716994551100593
13,2016-04-01 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
14,2016-04-02 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
15,2016-04-03 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
16,2016-04-04 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
17,2016-04-05 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
18,2016-04-06 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,0.0,0.0,90.0,0.0
19,2016-04-07 12:00:00,2016_00021,668678.06175,-1378745.69801,-19.12707,75.92291,94.625,46.428,22.09043,5.7599375,,0.0,-0.0016814949844020971,0.0024429524685013653,325.46019162407526,0.0029657110691917246
21,2016-04-01 12:00:00,2016_00022,845034.91447,-1381915.7743,-13.55441,75.1278,92.029220625,39.1252725,15.21539,8.16052,-0.049186944424070275,-0.035831650221050164,0.04799727818075682,0.026489165452853854,61.10618119858407,0.054821661769319074
23,2016-04-01 12:00:00,2016_00037,847867.94394,-1189893.86333,-9.52817,76.57167,56.73244375,31.91419,13.5573275,5.5437725,,0.054807398784059234,0.06562685809744817,-0.019302798409678888,106.39016815812448,0.06840674330932076
