,year,all_u,all_f,tracked_u,tracked_f
0,2003,99213,57789,23234,20238
1,2004,71986,32072,5453,4296
2,2005,94007,48103,13120,11134
3,2006,91683,39292,5510,4187
4,2007,103455,52588,15046,12681
5,2008,134662,66002,21960,17354
6,2009,127905,61046,20511,15696
7,2010,104349,53259,13170,11191
8,2011,120043,52458,11645,8999
9,2012,102631,53608,17154,13990
10,2013,134896,62358,17645,13137
11,2014,104861,58455,20046,17428
12,2015,93986,45228,9870,8118
13,2016,137906,62244,18582,13492
14,2017,119399,65845,22584,19166
15,2018,109564,45051,9932,6288
16,2019,94260,50388,16095,13966
17,2020,271049,166259,27443,25125
